Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
2015-12-31;787.82;788.33;777.32;778.01;1637561.0;0.0;1.0;787.82;788.33;777.32;778.01;1637561.0
2016-01-04;762.2;762.2;747.54;759.44;3369068.0;0.0;1.0;762.2;762.2;747.54;759.44;3369068.0
2016-01-05;764.1;769.2;755.65;761.53;2260795.0;0.0;1.0;764.1;769.2;755.65;761.53;2260795.0
2016-01-06;750.37;765.73;748.0;759.33;2410301.0;0.0;1.0;750.37;765.73;748.0;759.33;2410301.0
2016-01-07;746.49;755.31;735.28;741.0;3156563.0;0.0;1.0;746.49;755.31;735.28;741.0;3156563.0
2016-01-08;747.8;750.12;728.9201;730.91;2375348.0;0.0;1.0;747.8;750.12;728.9201;730.91;2375348.0
2016-01-11;731.95;735.08;719.56;733.07;2544806.0;0.0;1.0;731.95;735.08;719.56;733.07;2544806.0
2016-01-12;740.75;748.34;736.43;745.34;2340753.0;0.0;1.0;740.75;748.34;736.43;745.34;2340753.0
2016-01-13;749.34;753.0;716.78;719.57;2586395.0;0.0;1.0;749.34;753.0;716.78;719.57;2586395.0
2016-01-14;724.44;739.89;705.0;731.39;2777868.0;0.0;1.0;724.44;739.89;705.0;731.39;2777868.0
2016-01-15;709.99;724.158;701.51;710.49;3833751.0;0.0;1.0;709.99;724.158;701.51;710.49;3833751.0
2016-01-19;720.15;725.35;709.85;719.08;2436220.0;0.0;1.0;720.15;725.35;709.85;719.08;2436220.0
2016-01-20;705.9;726.95;687.78;718.56;4122010.0;0.0;1.0;705.9;726.95;687.78;718.56;4122010.0
2016-01-21;720.17;737.67;711.11;726.67;2596916.0;0.0;1.0;720.17;737.67;711.11;726.67;2596916.0
2016-01-22;742.0;748.56;740.5;745.46;2357315.0;0.0;1.0;742.0;748.56;740.5;745.46;2357315.0
2016-01-25;743.84;752.46;732.501;733.62;2267031.0;0.0;1.0;743.84;752.46;732.501;733.62;2267031.0
2016-01-26;735.21;739.46;726.97;733.79;1547049.0;0.0;1.0;735.21;739.46;726.97;733.79;1547049.0
2016-01-27;735.89;735.89;713.45;717.58;2121434.0;0.0;1.0;735.89;735.89;713.45;717.58;2121434.0
2016-01-28;738.19;751.16;730.6;748.3;3105222.0;0.0;1.0;738.19;751.16;730.6;748.3;3105222.0
2016-01-29;748.96;765.105;744.2;761.35;3790395.0;0.0;1.0;748.96;765.105;744.2;761.35;3790395.0
2016-02-01;771.26;777.59;761.38;770.77;5576089.0;0.0;1.0;771.26;777.59;761.38;770.77;5576089.0
2016-02-02;800.5;810.35;780.6;780.91;6792331.0;0.0;1.0;800.5;810.35;780.6;780.91;6792331.0
2016-02-03;786.28;791.43;736.26;749.38;6555731.0;0.0;1.0;786.28;791.43;736.26;749.38;6555731.0
2016-02-04;744.59;745.24;722.6001;730.03;5246123.0;0.0;1.0;744.59;745.24;722.6001;730.03;5246123.0
2016-02-05;725.5;726.72;700.14;703.76;5477821.0;0.0;1.0;725.5;726.72;700.14;703.76;5477821.0
2016-02-08;687.68;704.52;682.01;704.16;4470514.0;0.0;1.0;687.68;704.52;682.01;704.16;4470514.0
2016-02-09;692.95;720.96;688.5;701.02;4214950.0;0.0;1.0;692.95;720.96;688.5;701.02;4214950.0
2016-02-10;711.79;723.22;705.39;706.85;3015733.0;0.0;1.0;711.79;723.22;705.39;706.85;3015733.0
2016-02-11;696.34;712.315;691.19;706.36;3250206.0;0.0;1.0;696.34;712.315;691.19;706.36;3250206.0
2016-02-12;712.21;716.0;701.58;706.89;2326889.0;0.0;1.0;712.21;716.0;701.58;706.89;2326889.0
2016-02-16;718.65;722.8789;710.18;717.64;2172213.0;0.0;1.0;718.65;722.8789;710.18;717.64;2172213.0
2016-02-17;727.0;733.76;716.61;731.97;2457715.0;0.0;1.0;727.0;733.76;716.61;731.97;2457715.0
2016-02-18;733.96;736.0;715.55;717.51;2363846.0;0.0;1.0;733.96;736.0;715.55;717.51;2363846.0
2016-02-19;715.9;724.03;713.12;722.11;1745940.0;0.0;1.0;715.9;724.03;713.12;722.11;1745940.0
2016-02-22;729.51;734.845;723.45;729.05;1875824.0;0.0;1.0;729.51;734.845;723.45;729.05;1875824.0
2016-02-23;726.1;730.9;715.67;717.29;2066566.0;0.0;1.0;726.1;730.9;715.67;717.29;2066566.0
2016-02-24;710.61;721.22;702.02;720.9;1854612.0;0.0;1.0;710.61;721.22;702.02;720.9;1854612.0
2016-02-25;722.93;729.51;713.23;729.12;1807258.0;0.0;1.0;722.93;729.51;713.23;729.12;1807258.0
2016-02-26;733.6;736.16;721.9392;724.86;2123690.0;0.0;1.0;733.6;736.16;721.9392;724.86;2123690.0
2016-02-29;721.0;730.6;716.84;717.22;2253426.0;0.0;1.0;721.0;730.6;716.84;717.22;2253426.0
2016-03-01;721.3;742.33;718.64;742.17;3005553.0;0.0;1.0;721.3;742.33;718.64;742.17;3005553.0
2016-03-02;742.87;743.121;733.25;739.48;1814643.0;0.0;1.0;742.87;743.121;733.25;739.48;1814643.0
2016-03-03;739.48;741.0;729.63;731.59;2026700.0;0.0;1.0;739.48;741.0;729.63;731.59;2026700.0
2016-03-04;734.8;735.0;725.62;730.22;2425750.0;0.0;1.0;734.8;735.0;725.62;730.22;2425750.0
2016-03-07;725.15;727.21;705.14;712.8;3088278.0;0.0;1.0;725.15;727.21;705.14;712.8;3088278.0
